fico,aprv_flag,amtfinanced_1req,collateral_dlrinput_newused_1req,pti_1req,ltv_1req,p12_reh7120_a,p12_bcx7110_a,p12_all7170_a,p12_aut7110_a,p12_all7120_a,p12_all7937_a,p12_bcc8120_a,p12_iln7410_a,p12_rev1300_a,p12_all8150_a,p12_bca8370_a,p12_all7517_a,p12_iln8220_a,p12_all6250_a,p12_aua8151_a,p12_rtr7110_a,p12_pil8120_a,p12_aua0300_a,p12_all7938_a,p12_bcc3456_a,p12_all8370_a,p12_aua8220_a,p12_als1300_a,p12_aua6200_a,p12_all2427_a,p12_alm6200_a,p12_all6971_a,clntr9437_a,clact9429_a,clall5010_a,clall2434_a,cloil0214_a,cltra4405_a,clact9428_a,bad_flag,Gender,Race
581,0,32115,NEW,15.29,105.3,72,72,3,84,89,75,24,29,1,13,31,0,70,30,,,70,6,67,1,23,65,8,1,0,400,400,,,,,,,,0,Female,White
707,1,21436,USED,4.63,102.12,100,84,0,,100,100,3,,20,,128,17,,1,,59,,0,100,4,133,,21,,0,1,1,,,,,,,,0,Male,White
689,0,26930,USED,6.61,109.24,76,13,0,,76,100,49,,3,26,88,0,,1,,,,0,100,3,88,,3,,0,90,1,,,,,,,,0,Undefined,White
811,1,18140,USED,3.08,49.03,12,12,0,34,99,100,72,100,1,,72,25,49,1,,,,2,100,1,29,49,6,1,0,1,1,,,,,,,,0,Female,Other
631,0,9874,USED,2.62,140.56,,,0,,93,33,159,0,2,76,70,0,128,1,76,,,2,33,,60,128,3,400,0,400,90,7,21,,,,,5,0,Male,White
617,0,70634,USED,5.8,103.24,93,55,12,,95,89,46,0,9,15,83,20,144,1,17,62,34,7,62,3,53,144,25,60,0,400,1,0,0,,,,,0,0,Undefined,Other
742,1,23277,USED,6.84,93.87,92,64,0,74,92,100,49,25,13,,190,11,180,1,,0,69,2,100,3,153,93,18,1,0,1,1,,,,,,,,0,Male,Hispanic
697,1,36710,USED,10.12,101.13,,,0,83,98,100,,29,2,15,,0,176,1,57,,64,6,75,,48,176,9,30,0,30,1,,,,,,,,0,Male,Hispanic
758,1,19621,USED,8.15,98.32,1,0,0,,1,100,9,,7,17,35,25,,1,,0,,0,89,1,39,,8,,0,30,1,,,,,,,,0,Male,Hispanic
755,1,21501,USED,7.05,111.98,85,44,0,,100,100,10,14,21,,25,20,128,1,,0,30,4,100,1,28,101,30,1,0,1,1,1,1,,,,,0,0,Male,Hispanic
732,1,44494,USED,6.41,105,55,50,0,,55,100,7,13,5,40,73,25,157,60,40,20,64,5,100,1,75,113,12,30,0,120,1,,,,,,,,0,Undefined,White
847,0,59662,NEW,3.71,88.33,24,6,0,45,99,100,30,27,25,,201,7,195,1,,3,14,6,100,5,103,132,40,1,0,1,1,,,,,,,,0,Female,White
813,1,13786,USED,4.21,90.7,0,0,0,78,88,100,6,14,22,,67,14,99,1,,0,74,6,100,3,54,99,31,1,0,1,1,,,,,,,,0,Male,White
711,0,35884,NEW,7.3,136.86,73,33,0,92,99,100,8,29,12,,17,47,169,1,,21,14,4,100,0,29,79,21,1,0,1,1,2,2,0,,,,1,0,Female,Black
769,1,20528,NEW,9.92,84.56,16,13,0,89,89,100,5,33,4,,13,60,21,1,,0,,3,100,0,11,21,7,1,0,1,1,,,,,,,,0,Male,Black
805,1,16349,USED,10.8,72.67,3,2,0,20,20,100,7,100,3,,11,67,7,1,,,,1,100,0,10,7,4,1,0,1,1,1,1,,,,,0,0,Female,White
846,1,39412,NEW,4.94,90,22,6,0,,58,100,22,0,18,,55,0,120,1,,0,,2,100,7,44,120,24,1,0,1,1,,,,,,,,0,Male,White
743,1,47894,USED,11.05,111.8,44,31,0,,88,100,18,67,14,27,49,0,158,30,,1,,1,82,0,68,38,15,1,0,120,1,0,0,,,,,0,0,Male,White
512,0,29887,USED,12.01,133.87,98,98,53,90,151,11,28,30,2,7,23,0,178,30,7,,114,2,10,0,67,92,3,120,0,400,120,,,,,,,,0,Undefined,Hispanic
719,1,40101,USED,10.98,85.32,67,67,0,81,98,100,45,19,5,,42,14,137,1,,21,17,5,100,0,19,94,22,1,0,1,1,,,,,,,,0,Female,Black
581,0,24290,USED,9.92,114.58,43,,0,,43,50,21,,1,13,6,100,,400,,,,0,25,0,6,,1,,0,400,1,,,,,,,,0,Female,White
730,1,47690,NEW,2.57,91.2,13,7,0,,113,100,14,71,3,37,27,14,68,1,,,,1,100,1,35,10,5,1,0,90,1,,,,,,,,0,Male,Black
691,0,33102,USED,14.63,107.79,103,24,0,35,135,100,1,50,12,41,32,40,135,1,,22,9,1,100,1,30,50,15,1,0,90,1,,,,,,,,0,Male,White
588,0,21840,USED,5.96,102.78,75,52,1,73,100,89,3,25,4,14,8,67,107,400,14,,2,2,70,0,15,107,12,400,0,400,1,16,21,324,0,,,2,0,Male,Black
734,1,36413,USED,8.33,89.02,56,37,0,,56,100,2,,5,,7,67,,1,,,,0,100,0,7,,5,,0,1,1,0,0,,,,,0,0,Female,Black
657,1,36332,NEW,10.18,114.85,80,,0,59,92,67,,50,1,17,,20,110,1,17,80,73,4,57,,90,90,7,30,0,400,400,1,1,,,,,0,1,Male,Hispanic
593,0,23860,USED,3.26,102.62,27,8,11,25,71,62,2,100,8,19,15,86,93,400,16,,,2,60,0,20,63,9,90,0,400,1,3,3,,,,,0,1,Male,White
717,1,31048,USED,11.7,123.66,42,19,0,,76,100,9,50,9,,18,43,42,1,,11,8,0,100,1,20,,11,,0,1,1,1,1,,,,,0,0,Male,Black
642,1,36319,USED,10.03,102.02,94,56,0,,99,80,6,0,3,,20,50,90,1,,,42,0,80,0,12,,9,,0,1,1,0,0,,,,,0,0,Female,Hispanic
766,0,40240,USED,5.41,109.65,60,18,0,79,101,100,20,75,10,,86,42,192,1,,0,,4,94,2,56,49,19,1,0,120,1,,,,,,,,1,Female,Black
625,0,34284,USED,2.93,109.66,103,89,0,,125,95,11,18,50,21,81,13,193,60,,43,8,3,92,2,64,131,62,1,0,60,1,5,14,0,,,0,2,0,Male,White
649,0,23944,NEW,11.52,95.04,65,,0,,65,100,,,2,,,100,,1,,14,,0,100,,5,,2,,0,1,1,,,,,,,,0,Female,White
763,1,20661,USED,6.28,108.77,75,52,0,5,99,100,53,20,10,,184,11,155,1,,3,50,3,100,3,82,115,19,1,0,1,1,,,,,,,,0,Female,White
538,0,8310,USED,3.41,101.96,101,101,0,,101,0,26,0,1,7,20,0,64,60,6,0,,3,8,0,23,62,2,60,0,120,120,1,1,,,,,0,0,Male,Black
759,1,25959,USED,3.45,109.61,82,31,0,100,100,100,48,18,9,,139,33,248,1,,0,3,8,100,3,69,97,24,1,0,60,1,,,,,,,,0,Female,Black
596,0,22703,USED,5.42,106.09,72,0,12,76,80,56,104,50,17,1,176,0,95,30,1,60,,4,64,0,85,95,20,60,0,400,60,1,1,,,,,0,0,Female,White
575,0,23843,USED,6.55,86.7,101,71,2,,119,79,8,33,7,15,40,17,200,60,,51,26,2,71,0,73,88,11,1,0,400,120,0,0,,,,,0,0,Female,Black
682,1,37985,NEW,9.84,119.93,97,66,0,81,97,100,5,40,14,,28,17,159,1,,63,159,4,100,0,34,57,18,1,0,400,1,1,1,,,,,1,0,Female,White
609,1,41078,USED,5.87,60.72,61,20,0,22,61,60,1,50,3,18,23,40,120,400,17,,,4,50,0,40,120,3,60,0,400,1,0,0,,,,,0,0,Male,Hispanic
772,1,11725,USED,9.64,73.74,15,15,0,,15,100,30,,1,,30,0,,1,,,,0,100,0,30,,1,,0,1,1,,,,,,,,0,Male,White
609,0,20865,USED,11.95,90.83,0,,0,96,96,60,,50,1,,3,100,86,400,,,86,2,60,,5,9,3,1,0,400,1,2,6,,,,,0,0,Female,White
693,1,29589,USED,12.36,86.27,90,14,0,,90,86,22,,5,32,34,33,,30,,86,,0,86,0,25,,5,,0,400,1,1,1,,,,,0,0,Male,White
709,0,46051,USED,18.58,85.12,0,,0,84,97,80,77,50,6,15,61,0,141,1,,0,,1,67,,50,13,10,1,0,90,1,,,,,,,,0,Female,White
680,0,17714,USED,16.22,92.9,74,74,0,,95,100,7,100,1,,7,100,10,1,,,2,0,100,0,8,,2,,0,1,1,,,,,,,,0,Male,Other
736,1,14613,USED,2.19,105.25,99,0,0,50,99,95,20,38,20,2,69,0,333,90,41,91,33,6,90,2,77,107,26,90,0,90,30,0,0,,,,,0,0,Undefined,White
812,1,31966,USED,8.18,107.36,24,16,0,46,66,100,2,100,9,,33,18,81,1,,4,22,2,100,1,42,51,12,1,0,1,1,,,,,,,,0,Female,White
569,0,20752,USED,3.75,103.76,77,,79,61,77,27,151,5,6,0,136,0,182,30,30,77,59,6,15,0,45,122,27,60,0,400,90,2,2,2538,0,,0,0,1,Male,White
712,1,30425,USED,14.31,101.72,16,7,0,,105,84,2,33,8,9,45,25,176,30,,0,23,0,86,0,29,,23,,1,30,30,,,,,,,,0,Female,Hispanic
681,1,38863,NEW,9.32,92.39,100,68,0,86,100,100,20,50,3,30,20,33,80,1,30,94,74,3,100,0,62,80,6,60,0,60,1,,,,,,,,0,Male,White
774,1,30744,USED,2.74,104.27,94,22,0,,122,100,2,33,8,40,125,13,148,1,40,,145,4,100,3,86,148,15,30,0,30,1,,,,,,,,0,Female,White
571,0,24136,USED,9.81,112.79,63,63,0,,141,75,3,83,1,,15,17,116,1,,,,1,11,0,69,64,1,400,0,400,1,0,0,,,,,0,0,Female,Other
620,0,23751,NEW,12.14,115.62,0,,,,0,33,25,0,1,,25,0,33,1,,,33,0,50,0,21,,2,,0,400,1,0,0,,,,,0,0,Female,White
537,0,13983,USED,4.04,99.83,27,,5,7,100,30,61,33,0,10,52,25,458,400,14,27,43,1,10,0,105,61,1,30,0,400,400,,,,,,,,0,Male,Black
611,1,18345,USED,11.93,97.32,78,78,0,46,78,64,62,9,11,5,68,57,170,30,7,46,10,2,69,0,29,170,21,30,1,120,30,2,3,,,,,1,0,Male,Hispanic
818,1,19590,USED,4.35,54.7,0,0,0,36,36,100,73,25,5,,73,0,185,1,,0,,3,100,1,59,101,9,1,0,1,1,,,,,,,,0,Male,White
703,1,24470,NEW,3.63,107.69,93,89,0,30,94,100,27,29,9,,122,9,152,1,,52,7,4,100,2,78,144,22,1,0,1,1,,,,,,,,0,Male,White
776,1,52568,NEW,7.26,93.39,36,19,0,9,99,100,8,50,7,61,63,29,57,30,,,,2,100,4,54,57,10,1,0,60,1,,,,,,,,0,Male,Other
838,1,17125,USED,6.08,143.01,15,1,0,68,68,100,2,13,7,,63,50,193,1,,15,71,3,100,1,41,193,15,1,0,1,1,,,,,,,,0,Female,Hispanic
675,0,35902,NEW,13.35,117.21,37,37,0,79,79,75,5,100,1,,5,33,114,1,,,114,1,75,0,47,23,3,1,0,400,1,0,0,,,,,0,0,Female,Hispanic
837,1,10714,USED,1.34,34.11,9,2,0,,94,100,3,0,27,,26,21,36,1,,,,1,100,12,25,36,31,1,0,1,1,,,,,,,,0,Female,White
749,1,34997,USED,8.44,99.22,76,37,0,73,98,100,19,14,12,,50,0,99,1,,,,7,100,4,35,99,21,1,0,1,1,,,,,,,,0,Male,Hispanic
617,1,20762,USED,11.22,103.82,75,54,0,,75,100,38,0,1,19,47,33,59,30,20,0,47,3,33,0,25,59,3,30,0,120,1,,,,,,,,0,Female,Other
822,1,38254,NEW,2.32,106.81,34,11,0,38,38,100,28,10,31,,87,20,178,1,,0,29,3,100,5,73,136,35,1,0,1,1,,,,,,,,0,Female,Black
585,1,38420,USED,10.66,97.27,98,86,0,,98,90,40,24,9,25,58,36,132,400,29,61,1,4,85,0,30,110,27,30,0,400,400,0,0,594,,,,0,0,Female,Hispanic
580,0,25236,USED,7.33,127.15,90,57,0,67,90,71,16,36,3,2,21,38,67,400,2,,3,2,75,0,13,67,13,30,0,400,400,21,35,242,0,,0,4,1,Female,Black
695,1,42297,USED,11.28,114.34,54,16,0,41,54,100,1,50,2,29,2,67,76,1,24,,,2,75,0,16,76,2,60,0,60,1,0,0,,,,,0,0,Female,Asian
668,0,25724,NEW,13.26,127.82,5,5,0,97,97,75,12,100,2,,12,100,20,1,,3,,1,75,0,9,20,3,1,0,1,400,0,0,,,,,0,0,Female,White
672,1,31867,USED,12.74,124.72,101,47,65,,101,92,11,0,17,38,72,18,121,30,38,40,,6,94,0,41,121,21,400,0,400,1,,,,,,,,0,Female,White
766,1,46111,USED,3.78,98.13,,,0,,100,100,45,100,2,,38,11,143,1,,,,0,100,0,102,,4,,0,1,1,,,,,,,,0,Male,White
725,1,35534,NEW,1.7,51.54,42,42,0,59,99,100,48,43,6,21,63,50,68,30,21,,2,5,88,1,51,68,17,30,0,30,1,0,0,,,,,0,0,Male,Black
693,1,21024,USED,6.94,89.52,87,50,0,,87,100,57,0,15,,102,11,172,1,,13,23,5,100,2,63,102,25,1,0,1,1,,,,,,,,0,Male,White
727,1,19917,USED,8.87,102.14,6,6,0,25,25,50,64,50,2,47,64,33,160,90,,0,,2,50,0,41,160,4,1,0,400,400,,,,,,,,0,Male,Black
871,1,27120,USED,4.08,115.16,0,0,0,6,6,100,6,50,12,,46,14,137,1,,0,,2,100,2,58,137,14,1,0,1,1,,,,,,,,0,Male,Hispanic
750,1,16248,USED,4.33,114.62,46,11,0,85,100,100,17,50,4,40,95,20,42,60,,,,2,100,2,64,42,7,1,0,60,1,,,,,,,,0,Male,White
522,0,29368,USED,7.13,92.94,,,43,,,0,62,0,0,45,11,,150,30,,,65,2,0,,17,100,8,400,0,400,400,0,0,,,,,0,0,Male,Asian
736,1,76642,USED,15.6,94.63,75,75,0,89,92,83,32,21,3,,28,50,117,1,,,12,8,88,0,34,98,19,1,0,1,1,,,,,,,,0,Male,White
545,0,29438,USED,10.06,113.23,100,90,5,84,100,83,14,17,14,4,86,20,197,1,,,,5,83,3,84,146,19,1,0,400,400,,,,,,,,0,Male,White
613,1,38564,USED,5.64,98.82,65,63,0,78,92,89,21,100,8,7,37,22,27,30,4,32,,2,91,0,24,27,10,60,0,60,60,4,7,,,,,0,0,Female,White
682,1,32236,USED,8.7,107.47,17,17,1,,100,67,80,19,6,,80,29,244,400,,0,20,4,67,0,65,166,19,1,0,400,120,0,0,1131,,,,0,0,Female,White
778,1,19025,USED,4.42,97.05,61,,0,14,100,100,111,80,9,78,148,43,122,1,,25,,2,100,,65,122,13,1,0,60,1,,,,,,,,0,Female,White
750,1,25891,USED,9.84,103.05,0,,0,83,116,100,,100,1,,,17,69,1,,0,,1,100,,30,17,2,1,0,1,1,,,,,,,,0,Female,White
789,0,58290,NEW,16.11,100,97,7,0,74,99,100,30,11,8,,36,25,130,1,,2,30,6,100,2,42,116,17,1,0,1,1,,,,,,,,0,Male,White
671,0,20146,USED,8.62,79.14,98,62,0,,119,100,17,100,10,,25,0,94,1,,49,,0,100,1,45,,10,,0,1,1,0,0,,,,,0,0,Female,Black
571,1,7899,USED,5.04,133.32,,,5,,247,70,107,91,2,22,89,0,184,1,,,110,1,66,0,76,153,4,1,0,400,400,0,0,,,,,0,0,Male,White
640,1,33377,NEW,6.67,116.32,,,0,,91,14,74,0,0,32,50,0,162,1,,,116,1,60,,69,162,3,1,0,400,1,,,,,,,,0,Male,Black
696,0,17565,USED,7.86,138.31,14,,0,,54,100,,0,2,31,,67,129,400,,7,71,1,75,,56,129,4,1,0,400,1,,,,,,,,0,Male,Other
771,1,19224,NEW,5.54,73.23,52,52,0,,52,100,53,0,6,,227,0,78,1,,0,18,0,100,1,47,,16,,0,1,1,,,,,,,,0,Female,White
644,1,37151,NEW,9.02,123.25,100,,0,67,100,94,82,18,14,6,45,8,154,1,6,35,57,8,94,0,46,154,23,30,0,30,30,1,1,,,,,0,0,Male,White
653,1,14231,USED,5.29,100.04,104,46,0,,104,100,0,100,8,,33,13,28,1,,2,28,0,100,0,30,,10,,0,1,1,1,1,,,,,0,0,Female,Black
714,1,19006,USED,6.55,114.49,95,94,0,88,100,100,19,8,13,29,54,20,225,30,,0,84,2,100,0,104,84,16,1,0,90,1,,,,,,,,0,Male,Other
756,1,18750,USED,7.68,129.98,86,52,0,36,87,100,107,67,12,,107,10,74,1,,33,,3,100,1,68,74,16,1,0,1,1,,,,,,,,0,Male,White
548,0,20905,USED,11.06,104.84,32,32,55,,111,63,37,50,1,53,37,0,77,1,,,,3,33,0,38,77,2,400,0,400,400,0,0,0,,,,0,0,Female,Asian
639,1,25910,USED,11.33,115.28,94,93,0,47,94,100,2,100,2,,20,33,33,400,,,,1,100,0,19,33,3,1,0,400,1,,,,,,,,0,Male,White
685,1,37704,USED,13.35,101.9,68,20,0,,99,100,6,28,3,20,57,50,207,400,20,,2,3,84,0,21,142,24,90,0,400,1,1,4,6462,0,,0,0,0,Male,Hispanic
714,0,24776,USED,6.89,93.06,53,,0,,53,100,,,1,,10,100,,1,,,,0,100,,10,,1,,0,1,1,,,,,,,,0,Male,White
715,1,19279,USED,5.69,107.11,72,49,0,53,100,89,71,38,3,25,71,17,104,1,,59,24,1,80,0,38,35,9,1,0,400,120,,,,,,,,0,Female,Hispanic
810,1,20099,NEW,3.46,45.68,67,0,0,,94,100,58,,6,,259,0,,1,,,,0,100,3,160,,10,,0,1,1,,,,,,,,0,Male,White
727,1,8372,USED,0.37,61.56,79,29,0,,79,100,3,0,18,,24,44,70,1,,38,,1,100,2,36,70,20,1,0,1,1,,,,,,,,0,Female,White
580,0,14144,USED,11.7,108.82,74,40,0,,95,95,1,50,18,48,10,72,76,60,46,27,2,1,95,0,12,76,20,120,0,400,1,2,2,,,,,1,0,Male,White
794,1,22128,USED,10.22,38.24,6,6,0,100,100,100,44,15,10,,98,20,217,1,,0,96,10,100,1,48,111,21,1,0,1,1,,,,,,,,0,Male,Other
615,0,19942,USED,5.71,102.53,56,28,0,,56,67,2,0,4,17,10,100,52,400,,11,18,1,24,0,11,52,5,400,0,400,1,2,2,,,,,2,0,Female,White
702,1,21041.17,USED,15.37,99.49,94,77,0,44,94,88,32,33,6,,33,13,103,1,,0,93,1,88,0,64,49,10,1,0,400,1,,,,,,,,0,Female,White
541,0,21868,USED,6.68,118.21,61,,57,62,62,38,30,13,8,5,13,0,135,400,16,5,,2,47,0,41,41,10,90,0,400,400,0,0,,,,,0,0,Female,Black
662,1,26569,USED,7.61,101.8,66,65,0,31,66,71,50,60,4,18,46,0,82,1,,,37,3,63,0,39,82,8,1,0,400,1,0,0,3988,0,,0,0,0,Female,White
804,1,17840,NEW,5.56,51.33,0,0,0,,98,100,39,0,5,,76,0,165,1,,,,1,100,1,59,165,7,1,0,1,1,,,,,,,,0,Male,White
700,0,12262,USED,10.46,96.74,9,9,0,,9,100,1,,1,,1,100,33,1,,,,0,100,0,17,,1,,0,1,1,,,,,,,,0,Female,Hispanic
543,0,11433,USED,8.61,149.45,25,25,2,,66,20,1,0,1,15,3,50,158,400,,,102,1,10,0,41,69,9,400,0,400,1,1,1,0,,,0,1,1,Male,Black
596,1,13118,USED,5.8,99.57,81,0,52,35,81,33,3,9,3,8,14,67,207,400,42,,24,4,40,0,31,190,11,30,0,400,30,,,,,,,,0,Female,Asian
